Team,Av. In play hrs,Av. In play mins,Av. In play secs,Av. In play total secs,% of total,Pts,GF,GA,xPts,xGf,xGa,
Arsenal,0,54,51,3291,55.4,84,88,43,72.53,71.9,42.0,
Aston Villa,0,53,29,3209,54.4,61,51,46,54.37,50.2,52.5,
Bournemouth,0,55,5,3305,56,39,37,71,34.73,38.6,63.9,
Brentford,0,52,7,3127,52.7,59,58,46,58.26,56.8,49.9,
Brighton,0,55,24,3324,56.1,62,72,53,70.86,73.3,50.2,
Chelsea,0,55,8,3308,55.7,44,38,47,52.28,49.5,52.5,
Crystal Palace,0,54,9,3249,55.4,45,40,49,44.24,39.3,48.1,
Everton,0,53,32,3212,54.5,36,34,57,40.71,45.2,65.7,
Fulham,0,54,26,3266,55.2,52,55,53,39.24,46.2,63.8,
Leeds United,0,51,58,3118,52.7,31,48,78,40.58,47.4,67.2,
Leicester City,0,56,1,3361,57.3,34,51,68,45.07,50.6,63.4,
Liverpool,0,56,41,3401,58,67,75,47,67.37,72.6,50.9,
Manchester City,1,0,19,3619,61.8,89,94,33,83.04,78.7,32.1,
Manchester United,0,55,17,3317,56.9,75,58,43,66.40,67.7,50.4,
Newcastle United,0,51,5,3065,51.7,71,68,33,71.67,72.0,39.6,
Nottingham Forest,0,53,28,3208,54.3,38,38,68,35.05,39.3,64.2,
Southampton,0,54,22,3262,55.1,25,36,73,36.47,37.7,61.0,
Tottenham,0,56,31,3391,57.3,60,70,63,57.60,57.1,49.7,
West Ham,0,56,45,3405,58,40,42,55,51.62,49.2,53.0,
Wolves,0,54,5,3245,54.8,41,31,58,35.01,36.8,59.9,
